issueid,playid,leage,host,guest,"('old_ods_w', 'min')","('old_ods_w', 'mean')","('old_ods_w', 'max')","('old_ods_d', 'min')","('old_ods_d', 'mean')","('old_ods_d', 'max')","('old_ods_d', 'min')","('old_ods_d', 'mean')","('old_ods_d', 'max')","('new_ods_w', 'min')","('new_ods_w', 'mean')","('new_ods_w', 'max')","('new_ods_d', 'min')","('new_ods_d', 'mean')","('new_ods_d', 'max')","('new_ods_l', 'min')","('new_ods_l', 'mean')","('new_ods_l', 'max')","('w_p', 'min')","('w_p', 'mean')","('w_p', 'max')","('d_p', 'min')","('d_p', 'mean')","('d_p', 'max')","('l_p', 'min')","('l_p', 'mean')","('l_p', 'max')","('kl_w', 'min')","('kl_w', 'mean')","('kl_w', 'max')","('kl_d', 'min')","('kl_d', 'mean')","('kl_d', 'max')","('kl_l', 'min')","('kl_l', 'mean')","('kl_l', 'max')","('ex_r', 'min')","('ex_r', 'mean')","('ex_r', 'max')","('lsd', 'klw')","('lsd', 'kld')","('lsd', 'kll')","('fc', 'klw')","('fc', 'kld')","('fc', 'kll')"
24163,3487424,欧　冠,AC米兰,布鲁日,1.38,1.51,1.60,3.70,4.31,4.80,4.87,5.96,7.40,1.38,1.48,1.55,3.85,4.48,4.90,5.00,6.36,7.60,58.74,63.92,66.51,20.08,21.15,23.05,13.13,14.93,18.21,0.88,0.95,0.99,0.81,0.95,1.04,0.75,0.95,1.13,0.88,0.95,1.00,0.26,1.65,3.89,0.07,2.72,15.1
24163,3487471,欧　冠,摩纳哥,贝红星,1.27,1.40,1.55,3.80,4.85,5.50,5.20,7.14,9.00,1.29,1.37,1.42,4.50,5.15,5.60,6.15,7.48,9.00,66.65,68.96,71.15,17.22,18.37,19.78,11.07,12.67,14.09,0.89,0.95,0.98,0.83,0.95,1.03,0.78,0.95,1.14,0.87,0.95,1.00,0.23,1.99,4.7,0.05,3.98,22.11
24163,3487446,欧　冠,尤文图斯,斯图加特,1.58,1.76,1.94,3.35,3.75,4.10,3.56,4.35,5.00,1.69,1.85,1.94,3.35,3.72,3.91,3.45,4.04,4.40,47.81,51.06,53.79,24.37,25.48,26.96,21.33,23.46,26.40,0.86,0.94,0.99,0.85,0.95,1,0.81,0.95,1.03,0.88,0.95,1.00,0.4,1.02,1.67,0.16,1.04,2.8
24163,3487403,欧　冠,巴黎圣曼,埃因霍温,1.39,1.51,1.60,3.87,4.52,5.20,4.00,5.51,6.50,1.35,1.46,1.51,4.20,4.89,5.50,5.05,6.08,7.00,61.08,65.02,67.79,17.75,19.39,21.41,14.20,15.59,17.50,0.88,0.95,0.98,0.81,0.95,1.07,0.79,0.95,1.09,0.87,0.95,0.99,0.27,2.22,3.38,0.07,4.92,11.4
24163,3487375,欧　冠,皇马,多特蒙德,1.34,1.47,1.54,3.93,4.72,5.40,4.85,5.73,6.80,1.36,1.46,1.52,4.35,4.92,5.40,5.05,5.87,6.80,61.78,64.61,66.89,18.13,19.24,20.85,14.44,16.15,17.81,0.88,0.95,0.98,0.84,0.95,1.04,0.82,0.95,1.1,0.88,0.95,1.00,0.25,1.91,2.97,0.06,3.64,8.83
24163,3487477,欧　冠,格风暴,里斯本竞技,3.50,6.63,9.00,3.42,4.71,5.50,1.23,1.48,1.96,6.30,7.71,10.50,4.40,5.07,5.52,1.20,1.37,1.43,8.96,12.29,14.43,17.21,18.65,20.66,64.92,69.06,71.83,0.77,0.95,1.29,0.82,0.95,1.03,0.83,0.95,0.99,0.84,0.94,1.00,4.5,1.98,0.32,20.24,3.92,0.1
24163,3487413,欧　冠,亚特兰大,凯尔特人,1.34,1.46,1.52,3.85,4.66,5.30,5.20,6.14,7.20,1.34,1.44,1.49,4.35,4.92,5.50,5.45,6.31,7.50,63.34,65.77,68.26,18.00,19.22,20.99,12.73,15.01,16.43,0.88,0.94,0.98,0.84,0.94,1.06,0.82,0.95,1.13,0.88,0.94,0.99,0.25,1.82,3.37,0.06,3.33,11.35
24163,3487428,欧　冠,布雷斯特,勒沃库森,4.00,5.56,6.80,3.57,4.37,5.00,1.35,1.53,1.77,5.10,6.19,7.00,4.10,4.60,4.90,1.36,1.47,1.53,13.70,15.30,17.81,19.37,20.52,21.63,60.56,64.18,66.22,0.78,0.95,1.07,0.84,0.94,1.01,0.87,0.94,0.98,0.88,0.94,0.99,3.46,1.39,0.27,11.99,1.94,0.07
24163,3487407,欧　冠,马德里竞技,里尔,1.34,1.47,1.54,3.75,4.32,4.80,5.20,6.62,8.00,1.39,1.48,1.54,3.85,4.32,4.70,5.50,6.60,7.70,60.97,63.73,65.41,20.71,21.90,23.40,12.49,14.37,16.07,0.89,0.95,0.98,0.84,0.95,1.03,0.79,0.95,1.11,0.88,0.94,0.99,0.26,1.44,4.01,0.07,2.08,16.07
24163,3487366,欧　冠,巴塞罗那,拜仁,1.97,2.30,2.65,3.40,3.83,4.30,2.32,2.72,3.20,2.05,2.31,2.45,3.55,3.89,4.16,2.44,2.72,3.15,37.77,40.98,44.82,22.84,24.29,25.53,30.17,34.73,37.50,0.84,0.94,1,0.86,0.95,1.01,0.85,0.95,1.09,0.88,0.95,0.99,0.61,1.13,0.85,0.37,1.27,0.72
24163,3487350,欧　冠,曼城,布拉格斯巴达,1.01,1.06,1.11,7.20,12.72,25.00,15.00,29.16,47.00,1.02,1.06,1.11,7.40,12.82,19.00,19.00,30.97,50.00,83.53,89.26,92.34,5.12,7.59,11.85,1.93,3.15,4.62,0.91,0.95,0.99,0.56,0.97,1.44,0.6,0.98,1.58,0.88,0.95,1.00,0.14,22.04,55.02,0.02,485.95,3026.96
24163,3487356,欧　冠,年轻人,国际米兰,5.50,6.89,8.50,4.07,4.86,6.10,1.28,1.40,1.52,6.30,7.44,8.75,4.40,5.01,5.60,1.29,1.38,1.44,11.10,12.74,14.46,17.22,18.91,20.47,65.07,68.36,70.39,0.8,0.95,1.11,0.83,0.95,1.06,0.88,0.94,0.98,0.87,0.94,0.99,4.12,2.33,0.24,16.96,5.44,0.06
24164,3489148,欧罗巴,费伦茨,尼斯,2.87,3.37,3.90,3.05,3.41,3.80,1.87,2.10,2.36,2.84,3.07,3.90,3.05,3.34,3.75,1.90,2.27,2.52,24.43,30.61,32.43,25.41,28.09,29.49,38.61,41.30,50.15,0.87,0.94,1.19,0.86,0.94,1.05,0.78,0.94,1.04,0.88,0.94,0.99,1.29,1.13,0.78,1.66,1.28,0.61
24164,3489185,欧罗巴,中日德兰,圣吉联合,1.93,2.13,2.32,3.00,3.39,3.80,2.89,3.27,3.70,1.93,2.16,2.34,3.15,3.46,3.80,2.92,3.19,3.50,41.47,43.47,46.64,25.07,27.12,28.48,27.17,29.41,31.23,0.84,0.94,1.02,0.85,0.94,1.03,0.86,0.94,1.03,0.87,0.94,0.99,0.58,1.12,1.17,0.33,1.26,1.36
24164,3489156,欧罗巴,塞萨洛尼基,比尔森,1.77,1.92,2.02,3.25,3.57,3.94,3.15,3.69,4.05,1.77,1.94,2.02,3.30,3.59,3.92,3.15,3.67,3.95,45.40,48.23,50.93,24.70,26.16,27.66,24.04,25.61,28.54,0.85,0.94,0.97,0.86,0.94,1.03,0.81,0.94,1.01,0.88,0.94,0.99,0.42,1.18,1.47,0.18,1.39,2.17
24164,3489136,欧罗巴,卡拉巴赫,阿贾克斯,2.70,2.98,3.85,2.95,3.51,3.95,1.81,2.22,2.42,2.69,2.96,3.25,3.28,3.61,3.95,1.99,2.22,2.40,29.84,31.66,33.40,24.10,25.98,27.44,40.36,42.35,45.28,0.85,0.94,1.03,0.85,0.94,1.03,0.84,0.94,1.02,0.88,0.94,0.99,1.06,1.24,0.62,1.12,1.53,0.38
24164,3489195,欧罗巴,安德莱赫特,卢多戈雷茨,1.65,1.79,1.89,2.76,3.58,3.95,3.50,4.26,4.70,1.65,1.80,1.89,3.00,3.64,3.95,3.49,4.22,4.60,47.22,51.99,54.47,23.86,25.78,28.66,20.90,22.23,25.57,0.86,0.94,0.98,0.77,0.94,1.02,0.78,0.94,1.02,0.86,0.94,0.98,0.37,1.35,2.17,0.14,1.81,4.69
24164,3489113,欧罗巴,毕尔巴鄂,布拉格斯拉维亚,1.54,1.79,1.95,2.94,3.69,4.25,3.50,4.16,5.50,1.54,1.81,1.92,3.37,3.74,4.25,3.67,4.08,5.50,49.43,51.84,60.89,22.06,25.12,26.56,17.05,23.04,25.73,0.8,0.94,1,0.85,0.94,1.07,0.85,0.94,1.27,0.88,0.94,0.99,0.49,1.41,2.1,0.24,1.99,4.41
24164,3489132,欧罗巴,特温特,拉齐奥,2.60,3.06,3.50,2.95,3.32,3.67,1.97,2.27,2.63,2.45,2.70,3.50,3.05,3.29,3.62,1.97,2.56,2.75,26.67,34.75,36.17,25.93,28.51,29.70,35.06,36.74,47.39,0.85,0.94,1.22,0.87,0.94,1.03,0.72,0.94,1.01,0.87,0.94,0.99,1.31,0.96,1.07,1.72,0.91,1.15
24164,3489115,欧罗巴,费内巴切,曼联,2.49,2.85,3.50,2.90,3.41,5.45,1.91,2.37,2.60,2.45,2.66,3.00,3.26,3.56,3.85,2.19,2.45,2.65,31.74,35.25,37.11,24.67,26.37,27.56,35.88,38.38,41.07,0.86,0.94,1.06,0.86,0.94,1.02,0.84,0.94,1.02,0.87,0.94,0.98,0.81,0.96,0.73,0.66,0.93,0.54
24164,3489182,欧罗巴,里昂,贝西克塔斯,1.46,1.59,1.93,3.15,4.00,5.30,3.65,5.32,6.60,1.57,1.71,1.93,3.50,3.84,4.35,3.88,4.55,5.25,49.60,54.91,57.60,22.20,24.43,26.04,17.67,20.66,24.67,0.86,0.94,1.06,0.86,0.94,1.06,0.8,0.94,1.08,0.88,0.94,0.98,0.52,1.48,2.48,0.27,2.19,6.15
24164,3489172,欧罗巴,马尔默,奥林匹亚科斯,2.48,2.71,3.10,2.95,3.24,3.65,2.18,2.55,2.75,2.62,2.81,3.10,3.05,3.30,3.65,2.18,2.46,2.63,30.12,33.40,35.16,26.11,28.42,29.49,36.16,38.18,42.82,0.88,0.94,1.04,0.87,0.94,1.04,0.83,0.94,1,0.88,0.94,0.99,0.81,0.88,0.8,0.65,0.78,0.65
24164,3489106,欧罗巴,波尔图,霍芬海姆,1.40,1.61,1.84,3.20,4.05,4.71,4.00,5.07,6.40,1.45,1.56,1.76,3.55,4.24,4.55,4.00,5.23,6.25,52.87,59.91,62.40,20.90,22.12,25.36,15.55,17.97,23.26,0.87,0.94,1.05,0.79,0.94,1.01,0.72,0.94,1.12,0.87,0.94,0.99,0.39,1.75,3.87,0.15,3.05,14.95
24164,3489081,欧罗巴,格拉斯哥流浪者,布加勒斯特星队,1.36,1.53,1.75,3.50,4.18,4.75,4.50,5.75,7.00,1.35,1.45,1.64,4.00,4.54,4.90,4.50,6.51,7.30,56.36,64.89,66.61,19.55,20.67,23.11,13.12,14.45,20.54,0.88,0.94,1.06,0.83,0.94,1.01,0.65,0.94,1.05,0.88,0.94,0.98,0.35,1.63,3.99,0.12,2.65,15.92
24164,3489121,欧罗巴,热刺,阿尔克马尔,1.32,1.45,1.55,3.70,4.54,5.20,5.00,6.35,7.70,1.35,1.44,1.57,4.20,4.78,5.20,5.00,6.18,7.50,60.77,65.13,67.57,18.13,19.64,22.19,12.46,15.22,17.66,0.88,0.94,1.02,0.82,0.94,1.02,0.76,0.94,1.14,0.88,0.94,0.98,0.33,1.78,4.11,0.11,3.17,16.93
