index,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
2020001,2020-10-28,06,08,15,27,28,30,37,38,39,44,46,49,51,52,59,70,75,77,78,80
2020002,2020-10-29,02,05,10,13,19,23,26,29,32,35,42,53,55,57,58,60,62,67,78,79
2020003,2020-10-30,04,08,14,18,21,40,41,42,46,50,52,55,56,57,61,70,72,75,77,80
2020004,2020-10-31,07,10,12,14,19,22,23,26,35,42,43,44,48,49,53,63,65,71,77,78
2020005,2020-11-01,02,11,13,14,16,18,24,30,35,38,45,49,50,51,53,54,55,57,65,80
2020006,2020-11-02,02,08,16,18,20,23,24,25,26,28,32,48,54,56,57,60,61,72,78,80
2020007,2020-11-03,08,10,12,13,26,27,29,31,36,38,41,44,53,57,58,60,66,68,75,78
2020008,2020-11-04,02,05,09,11,13,19,28,29,30,33,34,41,48,53,58,59,72,75,78,80
2020009,2020-11-05,06,08,10,12,17,27,30,32,34,39,43,47,51,55,58,61,68,72,75,80
2020010,2020-11-06,04,07,10,18,21,30,32,35,36,38,42,49,53,55,63,70,74,75,78,79
2020011,2020-11-07,01,03,07,13,18,19,20,21,22,31,37,39,40,50,54,56,63,64,69,79
2020012,2020-11-08,02,04,05,07,10,11,15,19,20,44,46,47,54,59,64,66,71,74,75,77
2020013,2020-11-09,06,11,13,16,21,25,28,37,38,39,43,50,51,61,62,64,69,73,76,79
2020014,2020-11-10,02,15,19,20,23,26,29,38,40,42,43,45,49,51,64,66,74,75,76,80
2020015,2020-11-11,05,09,15,16,17,25,30,41,43,46,51,52,61,65,69,70,72,73,74,76
2020016,2020-11-12,04,09,11,12,13,17,19,22,24,35,36,43,47,48,49,55,57,58,64,71
2020017,2020-11-13,09,10,13,18,19,20,29,30,34,36,42,44,49,51,53,56,69,76,77,79
2020018,2020-11-14,03,05,12,16,20,21,22,27,32,36,39,45,49,51,58,59,63,70,72,76
2020019,2020-11-15,02,03,07,08,09,11,22,23,28,31,34,39,57,61,64,71,72,76,77,80
2020020,2020-11-16,03,06,09,11,16,37,39,40,41,48,49,51,52,55,56,57,58,61,70,78
2020021,2020-11-17,03,04,10,13,16,17,24,35,38,43,48,50,54,58,59,70,72,73,74,75
2020022,2020-11-18,03,06,11,12,13,18,19,24,30,32,33,35,36,47,51,58,62,68,70,72
2020023,2020-11-19,01,03,04,07,10,13,15,16,25,30,32,36,38,46,48,51,61,64,67,80
2020024,2020-11-20,11,12,15,17,28,35,37,43,44,46,49,50,55,60,70,71,73,76,78,80
2020025,2020-11-21,02,04,06,10,21,32,33,37,39,40,48,49,59,61,63,64,65,70,79,80
2020026,2020-11-22,02,03,06,11,18,22,30,34,35,37,46,48,53,57,61,68,71,77,79,80
2020027,2020-11-23,08,11,12,16,19,30,32,33,40,45,47,50,54,58,59,61,62,76,79,80
2020028,2020-11-24,05,06,08,13,17,22,27,28,30,32,40,61,63,64,65,66,71,74,75,76
2020029,2020-11-25,10,15,23,25,29,30,31,33,48,50,51,54,57,62,63,70,71,75,76,79
2020030,2020-11-26,02,05,07,18,22,23,27,29,30,32,34,37,40,51,56,58,62,67,70,78
2020031,2020-11-27,01,04,08,09,16,21,23,25,35,43,48,53,54,57,66,67,73,75,79,80
2020032,2020-11-28,02,09,10,13,29,32,37,47,48,50,56,64,68,69,72,73,75,76,77,78
2020033,2020-11-29,04,10,12,16,19,25,26,28,32,34,36,39,42,50,54,61,66,71,75,80
2020034,2020-11-30,01,04,08,18,24,26,30,32,35,42,44,48,51,57,61,63,65,68,73,74
2020035,2020-12-01,03,05,07,08,11,19,24,30,32,40,44,45,53,54,57,63,72,76,77,80
2020036,2020-12-02,03,09,14,16,22,23,24,26,40,41,47,49,54,56,58,65,67,72,73,77
2020037,2020-12-03,08,10,14,15,25,33,34,36,39,40,41,44,48,56,60,63,64,70,77,80
2020038,2020-12-04,10,12,14,15,16,23,24,27,30,32,33,42,49,50,51,60,66,67,72,77
2020039,2020-12-05,01,03,07,09,11,17,19,23,32,34,38,40,42,43,52,61,68,70,77,80
2020040,2020-12-06,03,04,07,08,16,26,32,33,37,41,42,45,56,59,61,63,65,66,76,80
2020041,2020-12-07,06,13,19,21,26,30,37,38,39,41,42,45,47,48,52,53,62,72,75,80
2020042,2020-12-08,02,05,06,08,11,19,26,34,40,43,49,52,53,58,60,61,63,72,75,76
2020043,2020-12-09,05,09,13,18,19,21,33,35,38,39,40,44,48,57,64,65,67,68,69,76
2020044,2020-12-10,02,03,07,09,11,12,16,26,28,32,33,34,44,45,46,48,52,57,63,66
2020045,2020-12-11,03,06,13,14,19,22,23,30,31,35,38,41,44,52,59,63,70,73,75,78
2020046,2020-12-12,03,05,11,15,18,19,27,30,32,33,36,37,39,42,51,54,66,68,71,79
2020047,2020-12-13,04,05,10,17,18,22,27,28,37,42,43,45,46,48,49,51,54,55,66,78
2020048,2020-12-14,02,10,11,12,15,19,20,27,32,36,45,47,53,62,66,67,69,73,78,79
2020049,2020-12-15,07,12,15,18,19,20,29,31,42,46,52,54,59,63,65,67,70,71,77,80
2020050,2020-12-16,04,05,08,14,15,20,23,29,41,42,50,51,53,60,67,68,70,71,76,79
2020051,2020-12-17,01,04,08,11,15,21,23,34,38,39,41,47,51,60,68,71,73,76,77,79
2020052,2020-12-18,01,02,05,06,07,09,18,19,24,26,27,34,40,41,53,54,56,63,65,74
2020053,2020-12-19,02,06,11,15,17,24,25,28,29,30,34,42,43,48,50,53,62,64,70,72
2020054,2020-12-20,04,07,11,14,15,19,24,25,33,34,39,41,47,52,61,64,68,72,73,78
2020055,2020-12-21,02,10,13,15,16,24,28,29,32,34,35,39,46,49,54,57,65,70,74,77
2020056,2020-12-22,02,04,08,12,14,16,23,28,36,37,38,41,43,46,49,51,55,56,57,70
2020057,2020-12-23,03,10,13,16,24,30,31,37,41,44,46,47,50,52,56,60,61,68,72,80
2020058,2020-12-24,01,04,07,13,14,16,21,23,25,33,37,39,40,51,56,61,68,70,71,74
2020059,2020-12-25,04,12,14,16,17,21,22,23,27,30,38,41,44,47,48,57,60,62,64,69
2020060,2020-12-26,01,04,12,15,18,41,45,47,48,52,53,58,59,62,64,65,66,73,74,79
2020061,2020-12-27,10,12,13,19,23,24,28,30,35,39,40,43,45,46,50,59,62,67,71,79
2020062,2020-12-28,01,02,06,07,08,10,27,33,34,40,42,45,46,51,56,58,60,62,70,76
2020063,2020-12-29,02,04,13,15,27,29,31,37,42,43,47,50,51,54,56,60,61,62,75,77
2020064,2020-12-30,01,03,07,08,12,27,30,32,33,39,42,48,49,52,57,62,65,70,73,79
2020065,2020-12-31,07,08,09,21,34,35,39,40,42,44,51,55,58,63,67,68,71,72,75,79
2021001,2021-01-01,09,12,16,18,33,36,40,41,46,48,51,53,54,55,59,61,62,63,68,75
2021002,2021-01-02,06,10,11,13,14,28,30,36,39,43,44,47,48,59,67,69,71,73,75,79
2021003,2021-01-03,07,11,13,14,16,17,20,23,27,30,31,33,34,37,43,53,55,62,66,69
2021004,2021-01-04,03,08,11,12,13,14,16,22,23,27,33,37,46,48,51,52,53,63,75,80
2021005,2021-01-05,03,09,14,15,17,19,23,27,28,30,33,35,36,54,57,58,63,65,69,72
2021006,2021-01-06,05,07,10,14,16,17,19,25,32,34,35,38,40,43,51,53,54,57,73,77
2021007,2021-01-07,05,07,10,11,14,16,21,22,25,35,40,46,49,52,54,64,66,68,69,70
2021008,2021-01-08,04,05,08,09,13,19,20,21,24,28,40,48,50,57,63,65,66,69,70,75
2021009,2021-01-09,02,03,13,16,25,28,35,37,41,45,46,48,49,50,52,61,62,65,70,76
2021010,2021-01-10,02,05,09,14,16,22,24,26,32,35,36,37,40,41,44,49,65,70,71,74
2021011,2021-01-11,01,10,11,24,26,27,32,38,49,59,60,63,66,68,69,71,72,73,76,77
2021012,2021-01-12,02,04,06,10,16,17,19,24,27,30,34,38,40,44,48,49,56,60,63,66
2021013,2021-01-13,05,13,15,16,19,22,27,28,36,41,43,48,50,56,60,65,67,72,77,80
2021014,2021-01-14,07,11,19,34,36,37,38,39,42,47,57,60,62,69,72,73,75,76,77,78
